global_neuron_idx,local_neuron_idx,sae_idx,sae_config,correlation,p_value,abs_correlation
275,19,1,"(128, 6)",0.16617986054672437,3.410644550369878e-39,0.16617986054672437
380,124,1,"(128, 6)",-0.16607025418757376,3.8276982119250244e-39,0.16607025418757376
431,47,2,"(64, 4)",-0.16566288559764775,5.87277919132881e-39,0.16566288559764775
403,19,2,"(64, 4)",-0.16560886349014847,6.21528820387744e-39,0.16560886349014847
435,51,2,"(64, 4)",0.16367443738087073,4.6713748535877953e-38,0.16367443738087073
272,16,1,"(128, 6)",0.16344753357103453,5.908697758673056e-38,0.16344753357103453
179,179,0,"(256, 8)",0.16330162325366382,6.871238935295311e-38,0.16330162325366382
349,93,1,"(128, 6)",-0.16327515281308438,7.061859871516328e-38,0.16327515281308438
412,28,2,"(64, 4)",0.16322204770607565,7.460275351121117e-38,0.16322204770607565
354,98,1,"(128, 6)",-0.16262533085376701,1.3804802471819779e-37,0.16262533085376701
276,20,1,"(128, 6)",0.16242656287821064,1.6936893643328033e-37,0.16242656287821064
101,101,0,"(256, 8)",-0.1619424059623856,2.783985505182175e-37,0.1619424059623856
346,90,1,"(128, 6)",-0.16193881316362568,2.7942554132900277e-37,0.16193881316362568
152,152,0,"(256, 8)",0.1616233363369319,3.859567796642942e-37,0.1616233363369319
281,25,1,"(128, 6)",0.16152565448835438,4.2649490167244924e-37,0.16152565448835438
350,94,1,"(128, 6)",-0.1610540811643031,6.90128045471091e-37,0.1610540811643031
58,58,0,"(256, 8)",-0.16053287867600902,1.17274230440319e-36,0.16053287867600902
260,4,1,"(128, 6)",0.1602140206012505,1.6206700375713965e-36,0.1602140206012505
417,33,2,"(64, 4)",0.16003095296984368,1.950853638069231e-36,0.16003095296984368
202,202,0,"(256, 8)",-0.15902665799714003,5.3740691135835524e-36,0.15902665799714003
394,10,2,"(64, 4)",-0.15855010903278854,8.671973000328649e-36,0.15855010903278854
405,21,2,"(64, 4)",-0.15843289023036128,9.752942911116821e-36,0.15843289023036128
332,76,1,"(128, 6)",-0.158381265639144,1.0270512009735548e-35,0.158381265639144
240,240,0,"(256, 8)",0.1583096360296485,1.1034127233979045e-35,0.1583096360296485
409,25,2,"(64, 4)",-0.15808443654221863,1.3821768011865327e-35,0.15808443654221863
270,14,1,"(128, 6)",-0.15758398212819208,2.277408266335071e-35,0.15758398212819208
184,184,0,"(256, 8)",0.1571247738113425,3.595966886800442e-35,0.1571247738113425
148,148,0,"(256, 8)",-0.15603446291577902,1.0578309590857298e-34,0.15603446291577902
318,62,1,"(128, 6)",-0.1545606721073669,4.492156145539133e-34,0.1545606721073669
397,13,2,"(64, 4)",0.1539714717500804,7.976422349271962e-34,0.1539714717500804
259,3,1,"(128, 6)",-0.15220572344871608,4.397257569678595e-33,0.15220572344871608
89,89,0,"(256, 8)",-0.15174661527398947,6.83119016860766e-33,0.15174661527398947
48,48,0,"(256, 8)",-0.15100642124078928,1.3857480999066846e-32,0.15100642124078928
195,195,0,"(256, 8)",0.15041482777355694,2.4326859778594897e-32,0.15041482777355694
59,59,0,"(256, 8)",0.14994899154612884,3.783009645762522e-32,0.14994899154612884
443,59,2,"(64, 4)",0.14981961584814812,4.275463868299397e-32,0.14981961584814812
268,12,1,"(128, 6)",0.1495659974243586,5.432865157615996e-32,0.1495659974243586
445,61,2,"(64, 4)",-0.1490827338390121,8.566077785237502e-32,0.1490827338390121
291,35,1,"(128, 6)",0.14894065613725183,9.790280522501305e-32,0.14894065613725183
307,51,1,"(128, 6)",0.1488781078871678,1.038285371046488e-31,0.1488781078871678
18,18,0,"(256, 8)",-0.14845762490939227,1.5402802985830462e-31,0.14845762490939227
390,6,2,"(64, 4)",-0.14794164603390997,2.4951725474823864e-31,0.14794164603390997
400,16,2,"(64, 4)",-0.14754414517745346,3.613963419433239e-31,0.14754414517745346
63,63,0,"(256, 8)",0.14742722796230695,4.029206954298656e-31,0.14742722796230695
19,19,0,"(256, 8)",0.14700368207652606,5.970542895294274e-31,0.14700368207652606
386,2,2,"(64, 4)",0.14553636768023592,2.3109752397232093e-30,0.14553636768023592
163,163,0,"(256, 8)",0.14524406893604574,3.021069904616149e-30,0.14524406893604574
114,114,0,"(256, 8)",-0.14463710840361052,5.260491691542786e-30,0.14463710840361052
322,66,1,"(128, 6)",-0.1429248940224188,2.4826490578961823e-29,0.1429248940224188
365,109,1,"(128, 6)",0.14185076235366045,6.508262193575225e-29,0.14185076235366045
317,61,1,"(128, 6)",-0.14111687855120122,1.2519033701366952e-28,0.14111687855120122
27,27,0,"(256, 8)",0.1411147081890104,1.2543212292313506e-28,0.1411147081890104
277,21,1,"(128, 6)",-0.140621394692929,1.9432630299857996e-28,0.140621394692929
421,37,2,"(64, 4)",-0.14005254053854183,3.2130762669553087e-28,0.14005254053854183
206,206,0,"(256, 8)",0.13962060691347805,4.700452788337869e-28,0.13962060691347805
376,120,1,"(128, 6)",0.13933978028721014,6.015590534785783e-28,0.13933978028721014
441,57,2,"(64, 4)",-0.139290605766195,6.280817802127716e-28,0.139290605766195
171,171,0,"(256, 8)",-0.13921965048525112,6.684081579243707e-28,0.13921965048525112
197,197,0,"(256, 8)",0.1391645068274271,7.015121604710147e-28,0.1391645068274271
308,52,1,"(128, 6)",-0.13907704477152727,7.573820093912144e-28,0.13907704477152727
210,210,0,"(256, 8)",0.138999248450332,8.107723172888028e-28,0.138999248450332
165,165,0,"(256, 8)",-0.13843447829900585,1.327879566610328e-27,0.13843447829900585
351,95,1,"(128, 6)",-0.13727933417640278,3.619210607536055e-27,0.13727933417640278
368,112,1,"(128, 6)",0.13720533248430217,3.8581863496881994e-27,0.13720533248430217
34,34,0,"(256, 8)",-0.13663893422461534,6.28664837847954e-27,0.13663893422461534
425,41,2,"(64, 4)",0.13560731906990398,1.5216398592540756e-26,0.13560731906990398
352,96,1,"(128, 6)",-0.13471048160973853,3.2631555203261556e-26,0.13471048160973853
146,146,0,"(256, 8)",-0.13468222381762268,3.342264667124095e-26,0.13468222381762268
187,187,0,"(256, 8)",0.13446784117172977,4.0076797987357194e-26,0.13446784117172977
191,191,0,"(256, 8)",-0.13373941499998077,7.410697789780523e-26,0.13373941499998077
284,28,1,"(128, 6)",-0.13366400052245433,7.896122403799335e-26,0.13366400052245433
228,228,0,"(256, 8)",0.13330521131378312,1.0673100160696684e-25,0.13330521131378312
71,71,0,"(256, 8)",0.13300941520906467,1.3674757133197862e-25,0.13300941520906467
288,32,1,"(128, 6)",0.13289187947829428,1.508755411862936e-25,0.13289187947829428
391,7,2,"(64, 4)",-0.13261215002835125,1.9058396646384857e-25,0.13261215002835125
430,46,2,"(64, 4)",-0.13243792800913795,2.203802622730373e-25,0.13243792800913795
235,235,0,"(256, 8)",-0.13234214314029702,2.3868258278418776e-25,0.13234214314029702
113,113,0,"(256, 8)",-0.13208233153133786,2.9626019743949104e-25,0.13208233153133786
135,135,0,"(256, 8)",-0.1320006308168759,3.1706443415470896e-25,0.1320006308168759
256,0,1,"(128, 6)",-0.13184051328872068,3.6212412272199025e-25,0.13184051328872068
426,42,2,"(64, 4)",0.13175334627269852,3.8926417256943613e-25,0.13175334627269852
361,105,1,"(128, 6)",0.1315020188826455,4.793180987570245e-25,0.1315020188826455
374,118,1,"(128, 6)",-0.13131149820427251,5.6107338239131575e-25,0.13131149820427251
