neuron_idx,correlation,abs_correlation,sae_idx,sae_config,is_interpreted,umap_x,umap_y
408,-0.18907232177881567,0.18907232177881567,2,"(64, 4)",True,2.4243567,7.9183054
183,0.18850862122658887,0.18850862122658887,0,"(256, 8)",True,7.034491,9.223583
389,-0.1874237021393462,0.1874237021393462,2,"(64, 4)",True,2.656147,7.003255
336,-0.18729648793689446,0.18729648793689446,1,"(128, 6)",True,5.72218,8.91932
375,-0.18469758224213945,0.18469758224213945,1,"(128, 6)",True,4.866417,8.830692
329,-0.18330676811179225,0.18330676811179225,1,"(128, 6)",True,6.579813,5.309075
385,0.18155913899173523,0.18155913899173523,2,"(64, 4)",True,6.0580707,5.0048223
70,0.18081211472296937,0.18081211472296937,0,"(256, 8)",True,7.354311,9.224894
398,0.18071974402822427,0.18071974402822427,2,"(64, 4)",True,2.2292368,6.9442706
377,-0.1803336081101759,0.1803336081101759,1,"(128, 6)",True,3.3591158,7.007524
355,0.1787209047885438,0.1787209047885438,1,"(128, 6)",True,2.9077158,8.499957
437,0.177480568411385,0.177480568411385,2,"(64, 4)",True,3.231977,8.023981
401,0.17684358365754452,0.17684358365754452,2,"(64, 4)",True,6.6929917,5.0529933
319,0.17628626583826976,0.17628626583826976,1,"(128, 6)",True,4.386033,8.9893
413,-0.17549169339910753,0.17549169339910753,2,"(64, 4)",True,2.9294684,7.782925
271,-0.17155341171151478,0.17155341171151478,1,"(128, 6)",True,5.3464656,7.8623204
428,0.17125357502237923,0.17125357502237923,2,"(64, 4)",True,3.7722085,7.525042
282,-0.17113745709021683,0.17113745709021683,1,"(128, 6)",True,4.372955,8.8483925
416,-0.17089704810177742,0.17089704810177742,2,"(64, 4)",True,2.2760317,6.9985275
87,0.1706159149160012,0.1706159149160012,0,"(256, 8)",False,2.601191,6.407241
372,0.17060274603085282,0.17060274603085282,1,"(128, 6)",False,2.2913442,6.8287163
76,0.17003796384599199,0.17003796384599199,0,"(256, 8)",False,5.4972463,7.8105917
334,-0.1683881851125042,0.1683881851125042,1,"(128, 6)",False,9.563828,7.7217703
141,0.1681242532543408,0.1681242532543408,0,"(256, 8)",False,6.4103255,8.401725
370,0.1666622976626042,0.1666622976626042,1,"(128, 6)",False,6.1462364,5.0946827
275,0.16617986054672437,0.16617986054672437,1,"(128, 6)",True,9.753096,8.174215
380,-0.16607025418757376,0.16607025418757376,1,"(128, 6)",False,2.206891,8.4705305
431,-0.16566288559764775,0.16566288559764775,2,"(64, 4)",False,6.785986,8.589069
403,-0.16560886349014847,0.16560886349014847,2,"(64, 4)",True,2.0081496,8.174756
435,0.16367443738087073,0.16367443738087073,2,"(64, 4)",False,5.318688,7.3060436
272,0.16344753357103453,0.16344753357103453,1,"(128, 6)",False,6.404896,5.482541
179,0.16330162325366382,0.16330162325366382,0,"(256, 8)",False,10.020776,7.344143
349,-0.16327515281308438,0.16327515281308438,1,"(128, 6)",False,6.3005915,8.406776
412,0.16322204770607565,0.16322204770607565,2,"(64, 4)",False,3.7928174,8.812671
354,-0.16262533085376701,0.16262533085376701,1,"(128, 6)",False,6.2433643,8.408134
276,0.16242656287821064,0.16242656287821064,1,"(128, 6)",False,7.155279,8.48778
101,-0.1619424059623856,0.1619424059623856,0,"(256, 8)",True,9.841587,8.437518
346,-0.16193881316362568,0.16193881316362568,1,"(128, 6)",False,6.1262083,5.1463394
152,0.1616233363369319,0.1616233363369319,0,"(256, 8)",False,7.4748464,4.7933884
281,0.16152565448835438,0.16152565448835438,1,"(128, 6)",False,8.968369,7.141109
350,-0.1610540811643031,0.1610540811643031,1,"(128, 6)",False,2.7453754,6.5308266
58,-0.16053287867600902,0.16053287867600902,0,"(256, 8)",True,6.934656,8.821608
260,0.1602140206012505,0.1602140206012505,1,"(128, 6)",True,6.878153,8.6765
417,0.16003095296984368,0.16003095296984368,2,"(64, 4)",False,2.3074915,6.8690896
202,-0.15902665799714003,0.15902665799714003,0,"(256, 8)",False,10.85969,6.347085
394,-0.15855010903278854,0.15855010903278854,2,"(64, 4)",False,2.9870067,6.707464
405,-0.15843289023036128,0.15843289023036128,2,"(64, 4)",False,1.0871503,8.395029
332,-0.158381265639144,0.158381265639144,1,"(128, 6)",False,6.327597,6.4805856
240,0.1583096360296485,0.1583096360296485,0,"(256, 8)",False,5.643398,8.1862135
409,-0.15808443654221863,0.15808443654221863,2,"(64, 4)",False,4.0328774,6.8567467
270,-0.15758398212819208,0.15758398212819208,1,"(128, 6)",False,8.997335,5.1718526
184,0.1571247738113425,0.1571247738113425,0,"(256, 8)",False,8.622001,6.3688273
148,-0.15603446291577902,0.15603446291577902,0,"(256, 8)",False,6.1003513,8.862853
318,-0.1545606721073669,0.1545606721073669,1,"(128, 6)",False,4.746382,8.858531
397,0.1539714717500804,0.1539714717500804,2,"(64, 4)",False,2.7619722,7.7410164
259,-0.15220572344871608,0.15220572344871608,1,"(128, 6)",False,7.71809,4.543898
89,-0.15174661527398947,0.15174661527398947,0,"(256, 8)",False,10.241269,5.8304796
48,-0.15100642124078928,0.15100642124078928,0,"(256, 8)",True,10.206757,5.8301964
195,0.15041482777355694,0.15041482777355694,0,"(256, 8)",False,6.3152347,7.1099586
59,0.14994899154612884,0.14994899154612884,0,"(256, 8)",True,6.660125,5.734303
